observation,Linear_Regression,Penalised_Linear_Regression_Lasso_min,Penalised_Linear_Regression_Lasso_1se,Penalised_Polynomial_Regression_Lasso_min,Penalised_Polynomial_Regression_Lasso_1se,Random_Forest,Neural_Networks,Extent
418,0.2349484,0.2657955,0.2937476,0.3540077,0.3636354,0.2434685,0.19303783,0.292
419,0.3931063,0.426772,0.4484447,0.6182248,0.6078099,0.4975005,0.44933252,0.522
420,0.5642767,0.5911521,0.5999508,0.7289189,0.7265278,0.66096725,0.66685202,0.701
421,0.7976289,0.83246,0.8532225,0.8796316,0.8899723,0.80082525,0.80696341,0.801
422,0.780786,0.8088242,0.8242259,0.8211927,0.8427876,0.85849833,0.88632558,0.865
423,0.8649202,0.8898518,0.9052231,0.9506162,0.9487056,0.86972383,0.88132057,0.863
424,0.7924252,0.8183883,0.8312973,0.8632846,0.8591383,0.83938983,0.8297747,0.824
425,0.6137031,0.6326197,0.6409746,0.6990994,0.7124738,0.69996683,0.70566506,0.711
426,0.4335001,0.4499501,0.4550374,0.6160026,0.6068673,0.56803392,0.5392164,0.584
427,0.3143656,0.3337313,0.337643,0.4557155,0.4648381,0.363627,0.35984749,0.384
428,0.1932528,0.2154092,0.2339647,0.2691631,0.2542018,0.15386992,0.16396785,0.162
429,0.1782343,0.1988202,0.2266801,0.2360592,0.2467521,0.11510625,0.08732738,0.084
430,0.2744236,0.2948916,0.3163884,0.3596487,0.3689213,0.22661425,0.21775767,0.272
431,0.4300581,0.4451547,0.4503202,0.593176,0.5840811,0.47974017,0.45843193,0.502
432,0.6215863,0.6283176,0.6150022,0.7136318,0.7080276,0.640195,0.66789124,0.677
433,0.5829028,0.5975524,0.5991634,0.775879,0.7537763,0.78238708,0.77780247,0.79
434,0.7352818,0.7376297,0.7251922,0.7771143,0.7727814,0.84789125,0.84047029,0.849
435,0.9358365,0.9469442,0.9513829,0.9326376,0.9215724,0.87770367,0.9147524,0.865
436,0.824533,0.8270475,0.8083526,0.8189414,0.811088,0.82004475,0.8168105,0.808
437,0.6358614,0.6356744,0.610218,0.6812608,0.6754501,0.6966465,0.68900372,0.667
438,0.5306353,0.5323606,0.5098377,0.6324615,0.6223874,0.56875225,0.53941787,0.546
439,0.3542871,0.361995,0.3473108,0.4263469,0.4358372,0.34827717,0.33109288,0.349
440,0.2527862,0.2629695,0.2600973,0.2411808,0.2258207,0.14483183,0.14724926,0.144
441,0.2469113,0.2549245,0.2585654,0.2059719,0.215681,0.09162275,0.08455212,0.077
442,0.391138,0.3228373,0.3198891,0.3182981,0.3261916,0.2764825,0.27787635,0.2
443,0.6376349,0.5640495,0.5484719,0.6370231,0.6286879,0.54427275,0.49690308,0.407
444,0.7471644,0.6644663,0.6349023,0.7111919,0.704156,0.68144542,0.6892879,0.63
445,0.859062,0.7857811,0.7649458,0.8379306,0.8347877,0.80576225,0.7902354,0.768
446,0.9427055,0.887084,0.8680482,0.8441743,0.8633037,0.85873425,0.87386356,0.843
447,1.0064836,0.9574137,0.9413846,0.9663401,0.963552,0.88030967,0.8951291,0.856
448,0.9385744,0.8693318,0.8471908,0.8693626,0.8648149,0.83950392,0.83333489,0.813
449,0.7845434,0.7003335,0.6729331,0.7205374,0.7237295,0.7220535,0.73050769,0.724
450,0.6165301,0.5337387,0.5049931,0.6227585,0.6113063,0.57436525,0.5831971,0.574
451,0.4243592,0.34677,0.3293648,0.4033115,0.4117387,0.36183158,0.32301629,0.349
452,0.3393008,0.2705517,0.2638072,0.2523722,0.2367071,0.17753783,0.17449569,0.153
453,0.2882332,0.2264284,0.2268479,0.1726802,0.182158,0.08359358,0.0925198,0.1
454,0.4013189,0.3377657,0.3353079,0.337016,0.3476862,0.27349358,0.2701865,0.256
455,0.5046562,0.4242621,0.4119918,0.5274357,0.5140675,0.493051,0.49159054,0.473
456,0.6371723,0.5599448,0.5419941,0.6412922,0.6278171,0.67410125,0.68297356,0.653
457,0.7865486,0.6973051,0.6683436,0.8100251,0.7870621,0.79640642,0.7836533,0.76
458,0.9091394,0.8716188,0.8772836,0.8092997,0.7988566,0.84705333,0.85921162,0.831
459,0.9240364,0.8787739,0.8731557,0.8958151,0.8859088,0.86094858,0.89008265,0.857
460,0.898678,0.8388869,0.82654,0.879361,0.8757941,0.83942675,0.8430892,0.809
461,0.7969493,0.7320336,0.7168283,0.7516454,0.7668548,0.72203175,0.74937125,0.692
462,0.6484304,0.5819075,0.5598096,0.6730681,0.6695414,0.59860517,0.62550835,0.576
463,0.442,0.3813095,0.363825,0.436428,0.4450741,0.36353617,0.37297806,0.375
464,0.358367,0.2985368,0.289235,0.2789141,0.2641437,0.18004833,0.1996904,0.163
465,0.2827159,0.2236787,0.2297216,0.2052275,0.2128946,0.1328055,0.11631649,0.097
466,0.3596479,0.292903,0.2920078,0.2973602,0.3090442,0.23790125,0.24101666,0.204
467,0.5564197,0.470152,0.4579482,0.5911258,0.5795347,0.50923525,0.49020404,0.499
468,0.743458,0.669621,0.6596388,0.7549623,0.7626528,0.70127267,0.66979797,0.662
469,0.906257,0.8421578,0.827704,0.864031,0.8749137,0.80580125,0.79922917,0.799
